residence_time_ms,phi,h2_fraction,inlet_temperature_k,pressure_atm,reactor_pressure_atm,outlet_temperature_k,temperature_rise_k,x_ch4,x_h2,x_o2,x_co,x_co2,x_h2o,x_no,ch4_conversion_percent,h2_conversion_percent,status,error_message
10.0,1.0,0.0,1000.0,10.0,9.999999999999991,2647.62650242499,1647.6265024249901,1.319032524558174e-06,0.007056500609646339,0.008785723424494029,0.01959630342441172,0.07388017832528662,0.1754833294767263,0.005057500888258963,99.99858896995553,,stable,
20.0,1.0,0.0,1000.0,10.0,9.999999999999998,2647.7438379593113,1647.7438379593113,6.653786720422198e-07,0.007047284138487573,0.008651417111446397,0.019562795763069026,0.07391992412882728,0.17553342388246387,0.005308560403430766,99.99928824779751,,stable,
50.0,1.0,0.0,1000.0,10.0,9.999999999999995,2647.7794714641673,1647.7794714641673,2.676790444357261e-07,0.007042582046872665,0.008565031469203803,0.019544187924504203,0.0739422864444795,0.17556385187214232,0.005474506742367765,99.99971367323943,,stable,
0.001,1.0,0.2,1000.0,10.0,9.999999999999838,1000.0001004198332,0.0001004198331884254,0.08798944118326545,0.021997360287399945,0.1869775625586726,8.726150010072547e-19,1.1655131536782675e-20,3.753103406982469e-12,2.096643221037542e-25,9.78196745826665e-08,1.360807022621202e-07,extinguished,
0.002,1.0,0.2,1000.0,10.0,9.999999999908285,1000.0000999070468,9.990704677420581e-05,0.08798944110210846,0.02199736025333954,0.1869775624191379,6.54173734563234e-18,6.563353911984912e-20,9.239302152302564e-12,6.9896937689331925e-25,1.9325540057124613e-07,2.941201171502428e-07,extinguished,
0.005,1.0,0.2,1000.0,10.0,9.999999999839144,2309.053392918729,1309.053392918729,0.0012843896649479259,0.018876808300095894,0.033073556774522096,0.04422803859761246,0.03880278948406028,0.16077292607793744,0.00014589171802708922,98.4948968015057,11.517367897880481,stable,
0.01,1.0,0.2,1000.0,10.0,9.999999999891095,2398.186687867389,1398.186687867389,0.0005843464016076693,0.016308948869542372,0.025784764451334423,0.037626385552624576,0.047043988477625705,0.1661229047282744,0.00024913572472544816,99.31871838720461,23.94246318094453,stable,
0.02,1.0,0.2,1000.0,10.0,10.000000000000002,2469.4666441310833,1469.4666441310833,0.0003076653706099821,0.01417639773453631,0.021264393009880696,0.03275999695803993,0.052823102659420335,0.17064368716053943,0.000381776237556843,99.64302664689721,34.206489028220545,stable,
0.05,1.0,0.2,1000.0,10.0,9.999999999999535,2545.179328178143,1545.179328178143,0.00014261291992745997,0.011749458093190092,0.01700709448964959,0.027683750838440383,0.05868536074836313,0.17573893891197717,0.0006407340431409396,99.835439987771,45.76954266183253,stable,
0.1,1.0,0.2,1000.0,10.0,10.000000000001725,2588.3303299687786,1588.3303299687786,8.068381486494905e-05,0.010297296715033537,0.014599664718878512,0.02467349940248014,0.06209945663701918,0.1787508326695308,0.0009398169106787797,99.9072017870862,52.62639801562351,stable,
0.2,1.0,0.2,1000.0,10.0,10.000000000000112,2619.1751736891497,1619.1751736891497,4.499712577531046e-05,0.009230702047176386,0.012758742723872164,0.022408519289101127,0.06464454037785577,0.18095938512027385,0.001379593861844753,99.94836997699853,57.63450657758291,stable,
